trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1 SouthBess1,4:02:00,4:02:00,SBI13,1,,0,0,
1 SouthBess1,,,SBI14,2,,0,0,
1 SouthBess1,,,SBI15,3,,0,0,
1 SouthBess1,,,SBI16,4,,0,0,
1 SouthBess1,,,SBI17,5,,0,0,
1 SouthBess1,,,SBI18,6,,0,0,
1 SouthBess1,,,SBI19,7,,0,0,
1 SouthBess1,,,SBI20,8,,0,0,
1 SouthBess1,,,SBI21,9,,0,0,
1 SouthBess1,,,SBI22,10,,0,0,
1 SouthBess1,,,SBI23,11,,0,0,
1 SouthBess1,,,SBI24,12,,0,0,
1 SouthBess1,,,SBI25,13,,0,0,
1 SouthBess1,,,SBI26,14,,0,0,
1 SouthBess1,,,SBI27,15,,0,0,
1 SouthBess1,4:20:00,4:20:00,SBI28,16,,0,0,
1 SouthBess1,,,SBI29,17,,0,0,
1 SouthBess1,,,SBI30,18,,0,0,
1 SouthBess1,,,SBI31,19,,0,0,
1 SouthBess1,,,SBI32,20,,0,0,
1 SouthBess1,,,SBI33,21,,0,0,
1 SouthBess1,,,SBI34,22,,0,0,
1 SouthBess1,,,SBI35,23,,0,0,
1 SouthBess1,,,SBI36,24,,0,0,
1 SouthBess1,,,SBI37,25,,0,0,
1 SouthBess1,,,SBI38,26,,0,0,
1 SouthBess1,,,SBI39,27,,0,0,
1 SouthBess1,4:30:00,4:30:00,SBI41,28,,0,0,
1 SouthBess1,,,SBI42,29,,0,0,
1 SouthBess1,,,SBI43,30,,0,0,
1 SouthBess1,,,SBI44,31,,0,0,
1 SouthBess1,,,SBI45,32,,0,0,
1 SouthBess1,,,SBI46,33,,0,0,
1 SouthBess1,,,SBI47,34,,0,0,
1 SouthBess1,,,SBI48,35,,0,0,
1 SouthBess1,4:36:00,4:36:00,SBI49,36,,0,0,
1 SouthBess1,,,SBI50,37,,0,0,
1 SouthBess1,,,SBI51,38,,0,0,
1 SouthBess1,,,SBI52,39,,0,0,
1 SouthBess1,,,SBI53,40,,0,0,
1 SouthBess1,,,SBI54,41,,0,0,
1 SouthBess1,,,SBI55,42,,0,0,
1 SouthBess1,,,SBI56,43,,0,0,
1 SouthBess1,,,SBI57,44,,0,0,
1 SouthBess1,,,SBI58,45,,0,0,
1 SouthBess1,,,SBI59,46,,0,0,
1 SouthBess1,,,SBI60,47,,0,0,
1 SouthBess1,,,SBI61,48,,0,0,
1 SouthBess1,,,SBI62,49,,0,0,
1 SouthBess1,,,SBI63,50,,0,0,
