stop_id,stop_name,stop_lat,stop_lon,stop_url
SBO1,Central Station,33.51212,-86.80861,
SBO2,18th St & 1st Ave N,33.51279,-86.80817,
SBO3,2nd Ave & 18th St N,33.5139,-86.80896,
SBO4,3rd Ave & 19th St N,33.51583,-86.80770,
SBO5,3rd Ave & 21st St N,33.51724,-86.80475,
SBO6,2nd Ave & 22nd St N,33.51663,-86.80386,
SBO7,2nd Ave & 20th St N,33.51576,-86.80567,
SBO8,2nd Ave & 19th St N,33.51493,-86.80745,
SBO9,2nd Ave & 18th St N,33.51387,-86.80963,
SBO10,2nd Ave & 17th St N,33.51323,-86.81099,
SBO11,2nd Ave & 16th St N,33.51264,-86.81223,
SBO12,2nd Ave & 14th St N,33.51165,-86.81433,
SBO13,2nd Ave & 12th St N,33.51037,-86.81696,
SBO14,2nd Ave & 9th St N,33.50854,-86.82086,
SBO15,2nd Ave & 6th Place N,33.50640,-86.82535,
SBO16,2nd Ave & 4th St N,33.50495,-86.829,
SBO17,2nd Ave & Family Court,33.50347,-86.83282,
SBO18,Tuscaloosa Ave & Center St,33.50271,-86.83558,
SBO19,Tuscaloosa Ave & 2nd St W,33.50219,-86.83734,
SBO20,Tuscaloosa Ave & 4th St W,33.50163,-86.83943,
SBO21,Tuscaloosa Ave & 6th St W,33.50021,-86.84251,
SBO22,Tuscaloosa Ave & Lomb Ave,33.49973,-86.84363,
SBO23,Baptist Medical Center Princeton,33.49747,-86.84648,
SBO24,Tuscaloosa Ave & Towers,33.49700,-86.84736,
SBO25,Tuscaloosa Ave & 11th St SW,33.49463,-86.85139,
SBO26,Tuscaloosa Ave & 13th St SW,33.49333,-86.85353,
SBO27,Tuscaloosa Ave & 14th St SW,33.49223,-86.85521,
SBO28,Tuscaloosa Ave & 15th St SW,33.49112,-86.85692,
SBO29,Tuscaloosa Ave & 16th St SW,33.48886,-86.86048,
SBO30,Tuscaloosa Ave & 17th St SW,33.48722,-86.86204,
SBO31,Pearson & 17th Pl SW,33.48543,-86.86422,
SBO32,West End Academy,33.48394,-86.86718,
SBO33,Pearson & 19th St SW,33.48312,-86.8687,
SBO34,Pearson & 21st St SW,33.48151,-86.87156,
SBO35,Pearson & 23rd Pl SW,33.48005,-86.87367,
SBO36,Pearson & 25th St SW,33.47883,-86.87525,
SBO37,Pearson & 27th St SW,33.47717,-86.8776,
SBO38,Pearson & 29th St SW,33.47545,-86.87976,
SBO39,Pearson & 31st St SW,33.47342,-86.88233,
SBO40,31st St SW & Alemeda Ave,33.4694,-86.8830,
SBO41,31st St SW & Jefferson Ave,33.46694,-86.88317,
SBO42,Jefferson & Aspen Ave,33.46394,-86.88774,
SBO43,Jefferson & Fir Ave,33.45846,-86.89318,
SBO44,Jefferson & Hickory Ave,33.45621,-86.89579,
SBO45,Jefferson & 40th St SW,33.45291,-86.89855,
SBO46,Jefferson & 46th,33.44839,-86.90376,
SBO47,Jefferson & 50th,33.4451,-86.9073,
SBO48,Jefferson & 54th St,33.4413,-86.9111,
SBO49,Jefferson & 55th St,33.43835,-86.91257,
SBO50,Dartmouth & 35th St,33.41565,-86.93024,
SBO51,Dartmouth & 33rd St,33.4134,-86.9330,
SBO52,Dartmouth & 30th St,33.41031,-86.93565,
SBO53,Dartmouth & Carolina Terrace,33.40799,-86.93745,
SBO54,Dartmouth & 25th St,33.4048,-86.9400,
SBO55,Dartmouth & 22nd St,33.4015,-86.9426,
SBO56,Dartmouth & 19th St,33.39819,-86.94543,
SBO57,19th St & Clarendon Ave,33.39880,-86.94662,
SBO58,19th St & Arlington Ave,33.40010,-86.94895,
SBO59,19th St & 1st Ave Bess,33.40141,-86.95129,
SBO60,19th St & 3rd Ave Bess,33.40260,-86.95337,
SBO61,19th St & 5th Ave Bess,33.40375,-86.95536,
SBO62,19th St & 7th Ave Bess,33.40523,-86.95799,
SBO76,19th St & 18th Ave,33.41284,-86.97311,
SBO77,18th Ave & 15th St,33.40940,-86.97594,
SBO67,West Lake Mall,33.39414,-86.97141,
SBO63,9th Ave & 18th St Bess,33.40584,-86.96174,
SBO64,9th Ave & 16th St Bess,33.4037,-86.9634,
SBO65,9th Ave & West Lake Blvd,33.39901,-86.96716,
SBO66,9th Ave & 10th St Bess,33.39711,-86.96880,
SBO68,9th Ave & West Town Plaza,33.38986,-86.97669,
SBO69,9th Ave & Barclay Dr,33.38672,-86.98043,
SBO70,9th Ave & Parker Rd,33.38268,-86.98391,
SBO71,9th Ave & Memorial Dr,33.37424,-86.99110,
SBO72,9th Ave & Shiloh Ln,33.37301,-86.99209,
SBO73,Bess Civic Center,33.36883,-86.99616,
SBO74,Social Security Office,33.36447,-87.00786,
SBO75,Bessemer Walmart,33.36195,-86.99985,
SBI1,9th Ave & Hampton Inn,33.36776,-86.99708,
SBI2,9th Ave & Memorial Dr,33.37394,-86.99085,
SBI3,UAB Medical West,33.37214,-86.98917,
SBI4,9th Ave & Parker Rd,33.38275,-86.98343,
SBI5,9th Ave & Barclay Dr,33.38662,-86.98011,
SBI6,9th Ave & 8th St,33.39388,-86.97133,
SBI7,9th Ave & 14th St,33.40107,-86.96532,
SBI8,18th Ave & 19th St,33.41305,-86.97267,
SBI10,9th Ave & 18th St,33.40530,-86.96131,
SBI11,18th St & 7th Ave,33.40416,-86.95927,
SBI12,18th St & 6th Ave,33.40341,-86.95796,
SBI13,18th St & 5th Ave,33.40267,-86.95671,
SBI14,18th St & 2nd Ave,33.40100,-86.95365,
SBI15,18th St & Carolina Ave,33.4001,-86.95052,
SBI16,19th St & Arlington Ave,33.40010,-86.94925,
SBI17,Dartmouth & 20th St,33.39891,-86.94473,
SBI18,Dartmouth & 22nd St,33.40116,-86.94289,
SBI19,Dartmouth & 25th St,33.40448,-86.94022,
SBI20,Dartmouth & Carolina Terr,33.40786,-86.93745,
SBI21,Dartmouth & 31st St,33.41127,-86.93475,
SBI22,Dartmouth & 33rd St,33.41326,-86.93322,
SBI23,Jefferson & 55th St,33.43807,-86.91267,
SBI24,Jefferson & 54th St,33.44067,-86.91141,
SBI25,Jefferson & 50th St,33.44488,-86.90754,
SBI26,Jefferson & 48th St,33.4469,-86.9053,
SBI27,Jefferson & 46th St,33.44828,-86.90369,
SBI28,Jefferson & 40th St SW,33.45237,-86.89879,
SBI29,Jefferson & Hickory Ave,33.45602,-86.89588,
SBI30,Jefferson & Fir Ave,33.45825,-86.89324,
SBI31,Jefferson & Birch Ave,33.46078,-86.890884,
SBI32,Jefferson & Aspen Ave,33.46402,-86.88741,
SBI33,Jefferson & 31st St SW,33.46682,-86.88314,
SBI34,31st St SW & Beulah Ave,33.47061,-86.88303,
SBI35,Pearson & 29th St,33.47501,-86.88013,
SBI36,Pearson & 27th St,33.47688,-86.87778,
SBI37,Pearson & 24th St,33.47905,-86.87478,
SBI38,Pearson & 21st St,33.48177,-86.87096,
SBI39,Pearson & 19th St,33.48294,-86.86881,
SBI41,West End Academy,33.48395,-86.86678,
SBI42,Pearson & Tuscaloosa Ave,33.48715,-86.86196,
SBI43,Tuscaloosa & 16th Pl SW,33.48911,-86.85995,
SBI44,Tuscaloosa & 15th Pl SW,33.49007,-86.85834,
SBI45,Tuscaloosa & 15th St SW,33.49094,-86.85699,
SBI46,Tuscaloosa & 13th St Sw,33.49323,-86.85337,
