route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R1,WD,1 SouthBess1,Central Station,1,518
R1,WD,1 SouthBess2,Walmart,,1 Walmart
R1,WD,1 SouthBessin2,Central Station,,Pipe Shop IB
R1,WD,1 SouthBess3,Soc. Security Bldg,,1 SouthBess
R1,WD,1 SouthBessin3,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess4,Walmart,,1 Walmart
R1,WD,1 SouthBessin4,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess5,Soc. Security Bldg,,1 SouthBess
R1,WD,1 SouthBess5A,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess6,West Lake Mall,,Pipe Shop OB
R1,WD,1 SouthBess6in,Central Station,,UABW
R1,WD,1 SouthBess7,Walmart,,1 Walmart
R1,WD,1 SouthBess7in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess8,West Lake Mall,,Pipe Shop OB
R1,WD,1 SouthBess8in,Central Station,,UABW
R1,WD,1 SouthBess9,Walmart,,1 Walmart
R1,WD,1 SouthBess9in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess11,Central Station,1,Pipe Shop IB
R1,WD,1 SouthBess12,Walmart,,1 Walmart
R1,WD,1 SouthBess12in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess13,Soc. Security Bldg,,1 SouthBess
R1,WD,1 SouthBess13in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess14,Soc. Security Bldg,,1 SouthBess
R1,WD,1 SouthBess14in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess15,West Lake Mall,,Pipe Shop OB
R1,WD,1 SouthBess15in,Central Station,,UABW
R1,WD,1 SouthBess16,Soc. Security Bldg,,1 SouthBess
R1,WD,1 SouthBess16in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess17,Soc. Security Bldg,,1 SouthBess
R1,WD,1 SouthBess17in,Central Station,,1 SouthBessIB
R1,WD,1 SouthBess18,West Lake Mall,,Pipe Shop OB
R1,WD,1 SouthBess18in,Central Station,,UABW
R1,WD,1 SouthBess19,Walmart,,1 Walmart
R1,WD,1 SouthBess19in,Princeton,,BMCP
R1,WE,1sat1,Central Station,1,518
R1,WE,1sat2,Bessemer Library,,519
R1,WE,1sat2in,Central Station,,UABPS
R1,WE,1sat3,Walmart,,1 Walmart
R1,WE,1sat3in,Central Station,,1 SouthBessIB
R1,WE,1sat4,Walmart,,1 Walmart
R1,WE,1sat4in,Central Station,,1 SouthBessIB
R1,WE,1sat5,Walmart,,1 Walmart
R1,WE,1sat5in,Central Station,,1 SouthBessIB
R1,WE,1sat6,Walmart,,1 Walmart
R1,WE,1sat6in,Central Station,,1 SouthBessIB
R1,WE,1sat7,Walmart,,1 Walmart
R1,WE,1sat7in,Central Station,,1 SouthBessIB
R1,WE,1sat8,Walmart,,1 Walmart
R1,WE,1sat8in,Central Station,,1 SouthBessIB
R1,WE,1sat9,Central Station,1,UABPS
R1,WE,1sat10,Walmart,,1 Walmart
R1,WE,1sat10in,Central Station,,1 SouthBessIB
R1,WE,1sat11,Walmart,,1 Walmart
R1,WE,1sat11in,Central Station,,1 SouthBessIB
R1,WE,1sat12,Walmart,,1 Walmart
R1,WE,1sat12in,Central Station,,1 SouthBessIB
R1,WE,1sat13,West Lake Mall,,Pipe Shop OB
R1,WE,1sat13in,Central Station,,UABW
R1,WE,1sat14,West Lake Mall,,Pipe Shop OB
R1,WE,1sat14in,Central Station,,UABW
R1,WE,1sat15,Walmart,,1 Walmart
R1,WE,1sat15in,Central Station,,1 SouthBessIB
R1,WE,1sat16,Bessemer Library,0,519
R1Ex,WD,1ExoutA,Jefferson & 40th St,,1Ex
R1Ex,WD,1ExinA,Central Station,,1Exi
R1Ex,WD,1Exout1,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin1,Central Station,,1Exi
R1Ex,WD,1Exout2,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin2,Central Station,,1Exi
R1Ex,WD,1Exout3,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin3,Central Station,,1Exi
R1Ex,WD,1Exout4,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin4,Central Station,,1Exi
R1Ex,WD,1Exout5,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin5,Central Station,,1Exi
R1Ex,WD,1Exout6,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin6,Central Station,,1Exi
R1Ex,WD,1Exout7,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin7,Central Station,,1Exi
R1Ex,WD,1Exout8,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin8,Central Station,,1Exi
R1Ex,WD,1Exout9,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin9,Central Station,,1Exi
R1Ex,WD,1Exout10,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin10,Central Station,,1Exi
R1Ex,WD,1Exout11,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin11,Central Station,,1Exi
R1Ex,WD,1Exout12,Jefferson & 40th St,,1Ex
R1Ex,WD,1Exin12,Central Station,,1Exi
R3,WD,3 JefferWen1,Central Station,1,3ib
R3,WD,3 JefferWen2,Wilson & Howard,,3ob
R3,WD,3 JefferWen2in,Central Station,,3ib
R3,WD,3 JefferWen3,Wilson & Howard,,3ob
R3,WD,3 JefferWen3in,Central Station,,3ib
R3,WD,3 JefferWen4,Wilson & Howard,,3ob
R3,WD,3 JefferWen4in,Central Station,,3ib
R3,WD,3 JefferWen5,Wilson & Howard,,3ob
R3,WD,3 JefferWen5in,Central Station,,3ib
R3,WD,3 JefferWen6,Wilson & Howard,,3ob
R3,WD,3 JefferWen6in,Central Station,,3ib
R3,WD,3 JefferWen7,Wilson & Howard,0,3ob
R3,WD,3 JefferWen8,Wilson & Howard,,3ob
R3,WD,3 JefferWen8in,Central Station,,3ib
R3,WD,3 JefferWen9,Wilson & Howard,,3ob
R3,WD,3 JefferWen9in,Central Station,,3ib
R3,WD,3 JefferWen10,Wilson & Howard,,3ob
R3,WD,3 JefferWen10in,Central Station,,3ib
R3,WD,3 JefferWen11,Wilson & Howard,,3ob
R3,WD,3 JefferWen11in,Central Station,,3ib
R3,WD,3 JefferWen12,Wilson & Howard,,3ob
R3,WD,3 JefferWen12in,Central Station,,3ib
R3,WD,3 JefferWen13,Wilson & Howard,,3ob
R3,WD,3 JefferWen13in,Central Station,,3ib
R3,WD,3 JefferWen14,Wilson & Howard,,3ob
R3,WD,3 JefferWen14in,Central Station,,3ib
R3,WD,3 JefferWen16,Wilson & Howard,,3ob
R3,WD,3 JefferWen16in,Central Station,,3ib
R3,WD,3 JefferWen17,Wilson & Howard,,3ob
R3,WD,3 JefferWen17in,Central Station,,3ib
R3,WD,3 JefferWen18,Wilson & Howard,,3ob
R3,WD,3 JefferWen18in,Central Station,,3ib
R3,WD,3 JefferWen19,Wilson & Howard,,3ob
R3,WD,3 JefferWen19in,Central Station,,3ib
R3,WD,3 JefferWen20,Wilson & Howard,,3ob
R3,WD,3 JefferWen20in,Central Station,,3ib
R3,WE,3sat1,Central Station,1,3ib
R3,WE,3sat2,Wilson & Howard,,3ob
R3,WE,3sat2in,Central Station,,3ib
R3,WE,3sat3,Wilson & Howard,,3ob
R3,WE,3sat3in,Central Station,,3ib
R3,WE,3sat4,Wilson & Howard,,3ob
R3,WE,3sat4in,Central Station,,3ib
R3,WE,3sat5,Wilson & Howard,,3ob
R3,WE,3sat5in,Central Station,,3ib
R3,WE,3sat6,Wilson & Howard,,3ob
R3,WE,3sat6in,Central Station,,3ib
R3,WE,3sat7,Wilson Rd,0,3ob
R3,WE,3sat8,Wilson & Howard,,3ob
R3,WE,3sat8in,Central Station,,3ib
R3,WE,3sat9,Wilson & Howard,,3ob
R3,WE,3sat9in,Central Station,,3ib
R3,WE,3sat10,Wilson & Howard,,3ob
R3,WE,3sat10in,Central Station,,3ib
R3,WE,3sat11,Wilson & Howard,,3ob
R3,WE,3sat11in,Central Station,,3ib
R3,WE,3sat12,Wilson & Howard,,3ob
R3,WE,3sat12in,Central Station,,3ib
R3,WE,3sat13,Wilson & Howard,,3ob
R3,WE,3sat13in,Central Station,,3ib
R3,WE,3sat15,Wilson & Howard,,3ob
